,dates,headline,section_name,abstract,Date_format,Tag
5,2015-04-30T01:33:56+0000,"Trying to Locate the Living, Nepal Rescuers Find Only Frustration",World,"Residents of Bhaktapur told a search-and-rescue team that had traveled from Fairfax County, Va., that there was no one left to save in their shattered city after Saturday’s earthquake.",4/30/2015,
6,2016-11-04T16:18:47+0000,"‘Brexit’ Ruling Could Cause Britain to Drag Its Feet, Muddying E.U. Plans",World,"Prime Minister Theresa May tried to soothe the nerves of Britain’s European partners on Friday, after her strategy to leave the European Union was imperiled.",11/4/2016,
7,2017-05-19T13:30:18+0000,Japanese Transgender Politician Is Showing ‘I Exist Here’,World,"Tomoya Hosoda, a councilman in a Tokyo suburb, ran for office to help younger generations accept gender fluidity in a country where obstacles to it persist.",5/19/2017,
8,2015-06-05T16:31:48+0000,German Child Care Workers’ Strike Brings Debate on Priorities,World,"Germany is on track this year to have the most days lost to labor action in nearly a decade, and the strikes have focused attention on wage disparities.",6/5/2015,
9,2017-01-24T05:15:15+0000,"In Its Third Month, India’s Cash Shortage Begins to Bite",World,"The data is murky, but the poor are clearly going without fruit, vegetables and milk as unemployment becomes more widespread.",1/24/2017,
0,2017-01-21T17:34:07+0000,Pictures From the 2017 Women’s Marches on Every Continent,World,Crowds in hundreds of cities around the world gathered in conjunction with the Women’s March on Washington.,1/21/2017,
1,2016-12-24T00:47:03+0000,"Trump, Promising Arms Race, Could Set World on Uncertain Path",World,"If Mr. Trump should follow through on instigating a new nuclear arms race, the consequences could be severe and possibly catastrophic.",12/24/2016,
2,2016-05-30T15:05:54+0000,Effort to Expose Russia’s ‘Troll Army’ Draws Vicious Retaliation,World,"Finland is an active front in an online “information war” between Russia and the West. When a journalist there confronted pro-Putin agitators, she became a target.",5/30/2016,
3,2017-08-22T09:00:11+0000,Can North Korea Actually Hit the United States With a Nuclear Weapon?,World,Six systems that North Korea needs to master to achieve a long-sought goal: being able to reliably hit the United States.,8/22/2017,
4,2016-11-25T20:10:26+0000,Inside a Fake News Sausage Factory: ‘This Is All About Income’,World,"A computer science student in a former Soviet republic found there was money to be made in mixing real and made-up stories, as long as they were pro-Trump.",11/25/2016,
