Date,Open,High,Low,Close,Volume
3/12/03,90.919998,91.360001,90.879997,91.199997,454800
3/13/03,90.150002,90.389999,89.519997,89.519997,830200
3/14/03,89.900002,90.120003,89.620003,89.959999,590900
3/17/03,90.519997,90.519997,88.860001,88.879997,724400
3/18/03,88.959999,89.199997,88.010002,88.040001,415200
3/19/03,88.040001,88.07,87.330002,87.389999,398400
3/20/03,87.82,87.949997,86.760002,87.25,206700
3/21/03,86.919998,87.050003,86.050003,86.050003,843400
3/24/03,87.099998,87.599998,86.849998,87.410004,373800
3/25/03,87.650002,87.82,86.900002,87.309998,606400
3/26/03,87.25,87.650002,87.25,87.489998,309500
3/27/03,87.75,87.870003,87.330002,87.550003,191600
3/28/03,87.919998,88.080002,87.720001,87.75,253400
3/31/03,88.300003,88.93,88.300003,88.900002,643800
4/1/03,88.400002,88.790001,87.900002,88.269997,289800
4/2/03,87.650002,87.699997,87.279999,87.349998,312200
4/3/03,87.25,87.580002,87.139999,87.300003,245600
4/4/03,87.059998,87.300003,86.879997,87.050003,184900
4/7/03,86.220001,86.860001,85.919998,86.849998,485400
4/8/03,87.050003,87.589996,86.989998,87.550003,194700
4/9/03,87.400002,87.860001,87.169998,87.809998,102400
4/10/03,87.75,87.849998,87.349998,87.400002,53300
4/11/03,86.82,87.32,86.589996,87.260002,450000
4/14/03,87.099998,87.110001,86.709999,87.019997,207100
4/15/03,87.330002,87.529999,87.040001,87.489998,128500
4/16/03,87.529999,87.900002,87.470001,87.849998,97700
4/17/03,88.239998,88.400002,87.800003,87.989998,106200
4/21/03,87.480003,87.830002,87.260002,87.800003,148000
4/22/03,88.150002,88.260002,87.620003,87.75,299900
4/23/03,87.779999,88.010002,87.599998,87.93,42700
4/24/03,88.400002,88.989998,88.400002,88.720001,199000
4/25/03,88.75,89.099998,88.68,88.919998,529700
4/28/03,89.089996,89.089996,88.779999,88.779999,80500
4/29/03,88.529999,88.769997,88.32,88.629997,177500
4/30/03,88.790001,89.519997,88.730003,89.449997,293400
5/1/03,89.199997,89.599998,88.800003,89.019997,231200
5/2/03,89.059998,89.07,88.269997,88.32,231500
5/5/03,88.309998,88.870003,88.199997,88.790001,77700
5/6/03,88.839996,89.400002,88.519997,89.230003,260600
5/7/03,90,90.330002,89.82,90.269997,306900
5/8/03,90.599998,90.900002,90.279999,90.489998,437400
5/9/03,90.300003,90.620003,90.199997,90.580002,110000
5/12/03,91.139999,91.190002,90.730003,91.150002,364700
5/13/03,90.900002,91.370003,90.830002,91.349998,227800
5/14/03,91.830002,92.980003,91.620003,92.75,1426500
5/15/03,92.599998,93.57,92.599998,93.040001,810300
5/16/03,93.480003,93.760002,92.949997,93.720001,703900
5/19/03,94.110001,94.239998,93.129997,93.400002,817800
5/20/03,93.150002,94.779999,93.120003,94.779999,606600
5/21/03,94.25,95.660004,94.120003,94.769997,1799600
5/22/03,95.099998,95.699997,94.900002,95.610001,576200
5/23/03,95.769997,96.209999,95.639999,95.849998,690600
5/27/03,95.620003,95.709999,94.120003,94.120003,846400
5/28/03,93.900002,94.139999,93.309998,93.959999,730500
5/29/03,94.300003,94.800003,94.07,94.779999,508300
5/30/03,94.449997,94.739998,93.970001,94.599998,722200
6/2/03,93.879997,93.879997,93.089996,93.510002,478600
6/3/03,93.760002,94.580002,93.709999,94.260002,389400
6/4/03,94.459999,94.709999,94.050003,94.540001,394100
6/5/03,95.199997,95.379997,93.800003,93.800003,820900
6/6/03,93.699997,94.150002,93.379997,94.139999,276800
6/9/03,94.699997,94.879997,94.269997,94.769997,282200
6/10/03,95.080002,95.93,95.07,95.900002,534800
6/11/03,96.25,96.599998,95.699997,95.779999,633600
6/12/03,96.110001,96.730003,96.010002,96.529999,315400
6/13/03,96.93,97.279999,96.760002,97.18,478400
6/16/03,97.5,97.660004,96.260002,96.260002,789300
6/17/03,95.970001,96.029999,95.400002,95.5,691600
6/18/03,95.059998,95.059998,94.199997,94.279999,657600
6/19/03,93.959999,94.480003,93.5,94.099998,817700
6/20/03,93.900002,94.050003,93.029999,93.75,561700
6/23/03,93.82,94.43,93.529999,94.309998,819900
6/24/03,94.150002,95.18,94.010002,95.18,292900
6/25/03,95.419998,95.489998,93.449997,93.660004,1002800
6/26/03,93.25,93.25,92.120003,92.400002,1423800
6/27/03,92.550003,92.550003,91.550003,92.07,735900
6/30/03,91.919998,92.519997,91.68,92.5,541900
7/1/03,92.150002,92.489998,91.510002,91.690002,449000
7/2/03,91.199997,92.07,91.110001,91.919998,338800
7/3/03,91.699997,91.709999,90.599998,90.599998,559100
