,dates,headline,section_name,abstract
8,2016-03-10T18:02:22+0000,Where’s My Mercedes? Egypt’s Financial Crisis Hits the Rich,World,Wealthy Egyptians have been among President Abdel Fattah el-Sisi’s most ardent supporters. But that loyalty is being tested as the economy struggles.
9,2015-05-02T18:56:17+0000,"Maimed Defending Afghanistan, Then Neglected",World,"The number of Afghan soldiers and policemen who have permanent disabilities has soared, overwhelming resources available from the government and charitable organizations."
0,2015-07-20T11:46:47+0000,"Turkey Says Suicide Bombing Kills at Least 30 in Suruc, Near Syria",World,More than 100 people were wounded in an attack that the Turkish prime minister suggested had been plotted by the Islamic State.
1,2016-02-18T11:39:14+0000,‘Hairy Panic’ (a Plant) Strikes Australian Town of Wangaratta,World,"The windblown grass has become a major nuisance, leaving the town inundated with tumbleweeds and drawing the attention of the global news media."
2,2014-10-17T20:58:32+0000,"In Europe, Fear of Ebola Exceeds the Actual Risks",World,"Across the Continent, as in the United States, the virus has stirred a wave of alarm that, according to experts, reflects the insecurities of the modern mind far more than any significant danger to public health."
3,2016-01-08T13:56:26+0000,18 Asylum Seekers Are Tied to Attacks on Women in Germany,World,The police chief in Cologne was forced out amid a growing uproar over an assault on women that unfolded on New Year’s Eve and has stoked fears of newcomers.
4,2015-10-31T00:24:22+0000,Deadly Fire Roars Through Romanian Nightclub,World,More than two dozen people were killed and scores were injured in the fire that broke out during a rock concert in Bucharest.
5,2015-09-26T22:03:52+0000,4 Youths Held in Death of Israeli Man Whose Car Was Hit by Rocks,World,"According to Israeli police, the Palestinian youths confessed to throwing rocks at vehicles on the road in East Jerusalem where the man had driven into a light pole."
6,2014-10-09T02:24:37+0000,"In Case of Missing Students, Hillside Mass Graves Point to a Death March",World,"Witnesses said that students from a teachers college were apprehended by police officers, killed and buried in Iguala, Mexico, but their accounts fuel further questions."
7,2014-12-02T03:45:19+0000,French Far Right Gets Helping Hand With Russian Loan ,World,The loan is seen as a helpful gesture after the party’s leadership expressed admiration for President Vladimir V. Putin and a desire to break with NATO in favor of an alliance with Russia.
8,2015-11-14T21:47:01+0000,Attackers in Paris ‘Did Not Give Anybody a Chance’,World,"Parisians who went out on Friday night to listen to music, watch soccer, or enjoy a meal or drink with friends, quickly became engulfed in a blood-soaked drama."
9,2015-06-25T16:35:07+0000,Courtney Love Tweets Ordeal During Violent Uber Protests in Paris,World,The singer and actress used Twitter and Instagram to describe being held hostage during a strike by taxi drivers opposing the transportation service’s efforts to expand.
0,2016-03-19T01:26:34+0000,Cholera Deaths in Haiti Could Far Exceed Official Count,World,"Officially, 9,200 people have died in the epidemic that began after the 2010 earthquake. But the real figure could be much worse, researchers found."
1,2014-10-22T07:43:53+0000,"Estimated 2,400 Executions Last Year Put China Far Off Peak",World,"The estimated number of executions compares with about 12,000 in 2002, according to a United States-based human rights organization."
2,2015-10-23T00:52:07+0000,"6 Arrested, Including Lawyer, in El Chapo’s Escape",World,"A lawyer is accused of executing the plan to break Joaquín Guzmán, the Mexican drug kingpin, out of the Altiplano prison through a mile-long tunnel."
3,2015-01-14T12:34:06+0000,Beijing Shuts Down Private Club in Temples Near Forbidden City,World,"After a visit by city officials, it was determined that a private club occupying areas in the two temples was an “unlicensed business” and that there were serious lapses by the Beijing government’s regulatory bodies."
4,2015-07-12T21:22:18+0000,"Greeks’ Anticipation Turns to Anxiety, Then Frustration in Weekend on Edge",World,"By Sunday, it had become clear that other eurozone nations were still divided over granting another bailout, extending a period of uncertainty in Greece."
5,2015-05-19T01:07:00+0000,ISIS Fighters Seized Advantage in Iraq Attack by Striking During Sandstorm,World,An episode reveals the limitations in America’s formidable aerial arsenal and also the weaknesses in the Iraqi military’s abilities while facing heavy attack.
6,2015-01-23T13:21:21+0000,Yemen Calm but Confused After President’s Resignation,World,"Houthi militiamen appeared to be consolidating their control, and there were reports that Parliament might reject the president’s resignation."
7,2016-01-05T14:00:32+0000,Questions of Motive Linger in Search for Tel Aviv Gunman,World,"Days after an attack on a bar, the suspect’s whereabouts and motives are a mystery, and the authorities have still not determined if the shooting was an act of terrorism."
8,2015-11-22T20:49:51+0000,Israeli Woman and 3 Palestinian Attackers Killed in West Bank,World,An Israeli woman was stabbed to death in Etzion block as violence flared with three Palestinians carrying out separate attacks in the occupied West Bank.
9,2014-12-10T15:19:25+0000,"Before Accusations, Uber Was a Boon for Indian Women",World,"Uber is staying put, and by making it illicit, the government has probably relieved the company of the pressure to ensure the safety of its users."
0,2015-04-23T14:53:47+0000,French Investigators Seek Possible Accomplices in Plot to Attack Church,World,"An Algerian man was arrested Sunday on suspicion of planning the assault, but Prime Minister Manuel Valls said, “This kind of individual does not act alone.”"
1,2014-11-13T13:48:40+0000,Car Bombs Explode Near Egyptian and U.A.E. Embassies in Libya,World,"The blasts were said to be a backlash against the two countries for their role in a regional proxy war, and officials said no one was injured."
2,2015-08-29T03:57:40+0000,"Outsiders Stir Politics, but Often Fail to Win or Govern Well",World,"In this campaign for the White House, everyone wants to run outside, trying to mimic Donald Trump's attention-getting distance from politics as usual."
3,2015-07-30T09:38:34+0000,Another Tiananmen Square Pops Up Ahead of Military Parade,World,"Tight security surrounds the rehearsal grounds for a military parade, as nearby restaurants sit empty and factories are ordered closed."
4,2014-12-13T23:08:38+0000,A Pastor’s Turn Fighting for Ukraine,World,"Sergei I. Reuta, a Pentecostal minister, picked up a Kalashnikov rifle to volunteer with the Ukrainian Army, where he routinely held court at his post and cooked for his unit."
5,2014-10-08T16:40:06+0000,ISIS Advances in Syrian Border Town of Kobani Despite Airstrikes,World,"Officials in Kobani, a Kurdish town near the Turkish border, said Islamic State militants had set off a car bomb and were moving into new areas."
6,2016-01-06T14:38:47+0000,"Charlie Hebdo, Known for Its Satire, Commemorates Attack Accordingly",World,A special issue of the newspaper is on sale in France during a week of events paying tribute to the 17 people who were killed one year ago.
7,2015-04-06T13:58:07+0000,"Skeptical of Iran Nuclear Deal, Israel Calls for Changes",World,"The Obama administration fears that reopening the issues with Iran in the last stages of the talks would invite it to do the same, rapidly unraveling the deal."
8,2014-10-18T22:38:46+0000,A Train Ride Through Time: From Iraq’s Checkered Past Into an Uncertain Future ,World,Grand ambitions to restore the country’s run-down train services to their former glory have been impeded by Islamic State’s advances.
9,2015-08-22T22:14:58+0000,Shabab Bombing Kills at Least 11 at Somali Army Camp,World,"The Islamist militant group, which has ties to Al Qaeda, claimed responsibility in a suicide bombing that killed at least 11 people at a training camp in Kismayo."
0,2015-05-12T00:40:23+0000,India: Dozens Die in Bus Plunge,World,At least 25 people died and 30 were injured Monday when an overcrowded bus fell more than 150 feet into a deep gorge in Indian-controlled Jammu and Kashmir.
1,2015-12-16T14:57:36+0000,Thousands March in South Africa to Call for Jacob Zuma’s Resignation,World,Protesters demanded that Jacob Zuma step down after his choice for finance minister raised widespread concerns about his handling of the economy.
2,2015-07-18T23:20:21+0000,"5 Czechs and Their Driver Are Missing in Lebanon, Officials Say",World,"The six disappeared in the Bekaa Valley, and the authorities are investigating the case as a possible kidnapping."
3,2015-01-14T01:47:00+0000,Newspaper in Israel Scrubs Women From a Photo of Paris Unity Rally ,World,"The publication generally avoids running pictures of women for reasons of modesty, and its intended audience has been known to scratch female faces out of bus advertisements."
4,2016-01-22T19:46:10+0000,"Pentagon Chief on Turkey, ISIS and Asia",World,"At the World Economic Forum in Davos, Switzerland, on Friday, Defense Secretary Ashton B. Carter said that he wanted to see Turkey do more in the fight against the Islamic State. He also discussed peace in Asia."
5,2015-11-22T19:00:00+0000,16 Arrests in Belgium Terrorism Raids,World,"The authorities in Brussels announced that 16 people had been arrested in an operation, though they said Salah Abdeslam was not among those arrested."
6,2015-12-05T23:25:54+0000,"Wary of Risks in Jubilee Year, Rome Is on Alert",World,"Pope Francis has declared a yearlong Jubilee of Mercy that is expected to draw millions of visitors, and some Italians are concerned that Rome is not equipped to handle the attendant security concerns."
7,2015-10-31T11:54:24+0000,German Village of 102 Braces for 750 Asylum Seekers,World,"Sumte has become a showcase of the extreme pressures bearing down on Germany, and at least one neo-Nazi welcomes the news, if not the refugees."
8,2015-10-18T09:54:04+0000,"Few in Venezuela Want Bolívars, but No One Can Spare a Dime",World,"The country’s currency has crashed along with its economy, despite an unchanging official exchange rate, transforming economic absurdities into daily hardships."
9,2015-07-11T14:29:51+0000,Mass Evacuation in China as Typhoon Chan-Hom Hits Coast,World,Hundreds of thousands of people were moved to safer areas before the storm struck Zhejiang Province on Saturday afternoon with winds of about 100 miles per hour.
0,2015-12-31T03:43:48+0000, Venezuelan Court Blocks 4 Lawmakers ,World,"The move, in response to a challenge from a candidate in the governing Socialist party, blocked three from the opposition and one Socialist just days before a new National Assembly was to be sworn in."
1,2015-09-09T22:07:47+0000,Israel Reopens Cairo Embassy 4 Years After Protesters’ Siege,World,The reopening reflects Israel’s effort to strengthen ties with the military-backed government in Egypt that replaced its first elected president.
2,2015-07-31T11:00:48+0000,Police Raids on Chinese Lawyers: The View From the Inside,World,"Photographs and video from a lawyer and a legal assistant attest to the recent raids, which often occurred at night and without detention or search warrants."
3,2015-07-13T22:48:46+0000,Notorious Prison Escapes in History,World,"Notable breakouts included the 1587 escape of Father John Gerard from the Tower of London, and the 1962 escape of three inmates from Alcatraz."
4,2015-07-08T02:30:07+0000,Tourists on Greek Island Join Local Volunteers to Aid Refugees,World,"On the island of Lesbos, some tourists have taken time away from the beach to help refugees fleeing Syria."
5,2015-06-30T01:07:32+0000,Israel to Build Fence Along at Least Part of Jordan Frontier,World,The plan will move Israel closer to completely surrounding itself with physical barriers.
6,2014-10-21T01:59:27+0000,Arrests Follow Acid Attacks on Iranian Women ,World,The police arrested several men following episodes that appear connected to a new law on “badly veiled” women.
7,2015-03-10T14:53:40+0000,1965: French Wives Gain Freedoms,World,Highlights from the International Herald Tribune archives: French law emancipates women in 1965.
8,2014-11-14T09:06:38+0000,"Gold Bars, Moldy Cash and a Chinese Official’s Mom Who Can Explain It All",World,"Anticorruption investigators say they found in a family home some 120 million renminbi in cash, 37 kilograms of gold bars and ownership documents for 68 homes, including seven in expensive parts of Beijing."
9,2015-01-14T13:52:06+0000,Strikes by Taxi Drivers Spread Across China ,World,"The cabdrivers say they are protesting soaring expenses, shrinking incomes and the competition presented by a spate of new ride-hailing apps."
0,2014-12-08T10:11:10+0000,Uber Banned in India’s Capital After Rape Accusation,World,The Delhi region’s Transport Department banned the hail-a-ride service after one of its drivers appeared in court on suspicion of raping a passenger.
1,2015-12-08T17:25:54+0000,Kerry Condemns Use of Fishing Drift Nets,World,"In Paris, Secretary of State John Kerry condemned the use of drift nets in fishing that he and the United Nations worked to ban in the 1990s. He said there is no enforcement of the ban."
2,2015-03-02T01:56:26+0000,Shoestring Legal Aid Group Helps Poor in Rural India ,World,"A team of young lawyers have abandoned other careers and helped found the group to aid people in Chhattisgarh, where human rights abuses are often overlooked."
3,2015-12-12T07:43:32+0000,"Fighting in Kabul’s Diplomatic Quarter Ends, Afghan Officials Say",World,"Six police officers, two of them Spanish, were killed battling the insurgents who seized a guesthouse near the Spanish Embassy, officials said Saturday."
4,2015-12-18T20:51:35+0000,Second Red Alert for Beijing: Air Pollution Worsens,World,"Beijing issued its second-ever red alert for dangerously bad air quality on Friday morning, just a week after its first one. The current alert is for hazardous levels starting on Saturday and end at midnight on Tuesday."
5,2015-10-11T23:30:24+0000,"Far-Right Party Gains, but Falls Short in Vienna Election Seen as Refugee Test",World,"The Social Democrats viewed the result as a triumph for their policy of acceptance, though the Freedom Party garnered 31 percent of the vote."
6,2015-12-15T21:13:07+0000,3 Held in Connection With Paris Attacks in January and November,World,"Three people are being questioned, including one suspected of supplying the guns used in the January siege of a kosher supermarket, the authorities said."
7,2015-04-13T14:34:33+0000,1940: U.S. Citizens Urged to Leave,World,From the International Herald Tribune archives: American citizens urged to evacuate Denmark in 1940.
8,2015-12-06T12:23:04+0000,"Car Bomb Kills Governor in Aden, Yemeni Security Official Says",World,"The governor, Jaafer Mohamed Saad, is the most senior official to be killed in the city where the embattled President Abdu Rabbu Mansour Hadi is based."
9,2015-06-19T20:59:06+0000,Rise of Far-Right Party in Denmark Reflects Europe’s Unease,World,"The anti-immigration Danish People’s Party took second in Thursday’s vote, underlining a growing crisis of confidence in the Continent’s traditional politics."
0,2014-12-27T20:49:34+0000,Sweden Strikes Deal to Avoid Vote Expected to Strengthen Far Right,World,Sweden’s mainstream political parties announced a deal on Saturday to preserve a minority center-left government by adopting the center-right’s budget for next year.
1,2015-03-04T17:10:43+0000,1940: French Develop Pursuit Planes,World,Highlights from the International Herald Tribune archives: The French develop a warplane in 1940.
2,2015-05-27T00:36:08+0000,Libyan Prime Minister Survives Assassination Attempt Amid Protests,World,"Abdullah al-Thinni had faced hostile questioning inside Parliament, and demands for his resignation from armed demonstrators outside."
3,2015-04-02T11:31:25+0000,"Iran Agrees to Detailed Nuclear Outline, First Step Toward a Wider Deal",World,"An understanding was reached about limiting Iran’s nuclear program, but key issues remain before a final agreement in June."
4,2015-03-24T12:58:09+0000,China Executes 3 Over Deadly Knife Attack at Train Station in 2014,World,The rampage at the Kunming station in Yunnan Province last year killed 31 people and wounded 141.
5,2014-11-08T15:42:16+0000,1989: Checkpoint Charlie as a Gateway for Shoppers,World,Highlights from the International Herald Tribune archives: Checkpoint Charlie the weekend the Berlin Wall fell.
6,2015-04-24T13:59:50+0000,Websites in India Put a Bit of Choice Into Arranged Marriages,World,"While Indian parents still take the lead in arranging marriages, many are turning to websites to widen the pool, and are allowing their children veto power."
7,2015-03-16T14:32:35+0000,Netanyahu Says No to Statehood for Palestinians,World,"As Israelis go to the polls, Prime Minister Benjamin Netanyahu’s stance is being seen as a push to appeal to right-wing voters. His chief challenger supports the two-state solution."
8,2015-01-10T02:17:19+0000,"Days of Sirens, Fear and Blood: ‘France Is Turned Upside Down’ ",World,"Friday was a day, like the previous two, of violence in and around Paris, one that ended with France unsure whether this drama is now truly over or a predictor of more cultural, religious and political violence to come."
9,2015-07-25T01:41:00+0000,Kerry Says Israel May Deepen Its Isolation by Opposing Iran Nuclear Accord ,World,"Secretary of State John Kerry said the deal with Iran was in Israel’s interest, but several foreign policy experts said his remarks risked worsening relations between the countries."
0,2015-05-20T21:30:01+0000,Chechen Leader Scolds WhatsApp Users for Spreading ‘Rumors’ About Official’s Wedding,World,Chechnya’s Instagram-addicted Ramzan Kadyrov accused citizens of using WhatsApp to spread rumors about a police chief.
1,2014-12-03T11:06:37+0000,Amnesty Report Condemns Police Torture in Philippines,World,Amnesty International says the police continue to abuse and degrade suspects despite a national effort to stem the practice.
2,2016-03-19T22:02:48+0000,Cuba on the Edge of Change,World,"Photographs from a land of endless waiting and palpable erosion — but also, an uncanny openness among everyday people."
3,2015-04-13T11:26:45+0000,Jean-Marie Le Pen Says He Won’t Run as a National Front Candidate in France,World,"The decision sidestepped what could have been an ugly, full-on confrontation with the party’s current leadership, headed by his daughter, Marine Le Pen."
4,2015-02-03T01:04:25+0000,Belgium: Man Accused of Threat Close to Parliament,World,"A man with a gun and a chain saw in his car was detained Monday by the police near the European Parliament, prompting the temporary evacuation of several buildings."
5,2015-05-06T15:40:03+0000,Familiar Swing to Security Over Privacy After Attacks in France,World,"In a dynamic seen many times since the Sept. 11 attacks led the United States to strengthen its spy agencies, French citizens appear willing to give up privacy for more protection."
6,2014-11-19T11:18:39+0000,Israeli Forces Demolish Home of Palestinian Who Used a Car to Kill 2,World,"Security forces evacuated a five-story building and destroyed the apartment of the mother of Abdel Rahman al-Shaloudy, who killed a baby and a young woman last month."
7,2016-02-03T15:20:48+0000,1941: A Crime Wave Hits Shanghai,World,From the International Herald Tribune archives: Shanghai suffers from a wave of arson and murder in 1941.
8,2015-02-15T10:18:35+0000,Terror Attacks by a Native Son Rock Denmark,World,"The police identified the suspect in Saturday’s attacks, at a cafe and near a synagogue in Copenhagen, as a 22-year-old with a violent criminal record."
9,2015-08-07T08:19:13+0000,Waves of Suicide Attacks Shake Kabul on Its Deadliest Day of 2015,World,"At least three waves of attacks left hundreds wounded: First a truck bomb, then group attacks on the police academy and, later, a police headquarters."
0,2015-08-07T08:19:13+0000,Waves of Suicide Attacks Shake Kabul on Its Deadliest Day of 2015,World,"At least three waves of attacks left hundreds wounded: First a truck bomb, then group attacks on the police academy and, later, a police headquarters."
1,2015-02-21T01:37:47+0000,"In Newly Sophisticated Boko Haram Videos, Hints of Islamic State Ties ",World,"The Nigerian terrorist group has begun using the flag, anthem and production style associated with ISIS."
2,2014-12-31T15:56:47+0000,Crash of AirAsia Flight 8501 Spotlights Indonesia’s Poor Air Safety Record,World,There are renewed concerns that Indonesia cannot keep up with the growing popularity of air travel as incomes rise and low-cost carriers multiply.
3,2015-03-20T16:56:23+0000,Netanyahu's History on Palestinian Statehood,World,"On the eve of the recent Israeli election, the prime minister said that no Palestinian state would be created on his watch. Two days later, he began to backtrack."
4,2015-01-12T02:00:24+0000,"In Cold Political Terms, Far Right and French President Both Gain",World,"After the terrorist attack in France, President François Hollande and the far-right leader Marine Le Pen have seen a boost in popularity, but no one expects the praise to last very long."
5,2015-09-02T11:57:00+0000,China’s Military Parades: A Look Back,World,Some glimpses of notable National Day parades from years past.
6,2015-04-07T13:04:30+0000,Iranian Border Guards Are Killed in Fighting Near Pakistan,World,"The border guards were killed in Sistan-Baluchistan Province, and in a separate attack, a news agency said, the Revolutionary Guards broke up a “terror team.”"
7,2016-02-22T16:16:22+0000,1966: France Finished With NATO,World,From the International Herald Tribune archives: Charles de Gaulle says he will pull France out of NATO in 1966.
8,2015-07-03T02:13:00+0000,South Sudan: 2 Sanctioned by U.S.,World,Two commanders leading the opposing sides in the civil war convulsing South Sudan were sanctioned by the Treasury Department on Thursday for fomenting the conflict.
9,2015-06-17T14:33:21+0000,1890: Paris Eclipse,World,From the International Herald Tribune archives: Parisians gather to see an eclipse in 1890.
0,2014-12-17T22:48:24+0000,German Soldiers May Help Train Forces in Iraq,World,Germany’s cabinet approved a plan for 100 soldiers to help train Kurdish pesh merga forces.
1,2015-04-14T16:10:18+0000,"Palestinian Doctors Can Drive Own Vehicles Into Israel, Agency Says",World,"The decision, exempting dozens of doctors from a blanket ban in force for 15 years, is the latest in a series of steps to relax constraints on Palestinians entering Israel."
2,2015-08-22T01:42:03+0000,Prospect of Self-Inspections by Iran Feeds Opposition to Nuclear Deal,World,"A military base in Iran has become a symbol of whether international inspectors are interested in digging into the past, or will just be checking boxes."
3,2014-11-13T18:09:33+0000,Afghanistan Militants Attack Coalition Convoy,World,"The convoy belonging to the American-led coalition forces was attacked twice by suicide bombers, officials said, but suffered no casualties."
4,2015-08-26T16:16:35+0000,1890: Murder on Paris Boulevard,World,From the International Herald Tribune archives: A Parisian service girl is murdered by her rival in 1890.
5,2015-04-27T21:12:30+0000,Piecing Together a Deadly Encounter in Paris,World,The killing of a fitness instructor in what appeared to be a chance encounter has left the French authorities scrambling to unravel the plans of a terrorism suspect.
6,2016-03-26T13:56:24+0000,"New Brussels Attack Suspect Is Charged, Prosecutors Say",World,A man identified in the Belgian press as Fayçal Cheffou has been accused of terrorist murders. The authorities say he was deeply involved in the plot.
7,2015-10-08T14:04:47+0000,Netanyahu Bars Politicians From Holy Site in Jerusalem,World,"The measure was apparently taken in an effort to curb unrest after a week of violence, with three new stabbing attacks on Thursday."
8,2015-12-02T10:00:55+0000,Street Spared in Paris Attacks Embodies What Terrorists Targeted,World,"Rue Jean-Pierre Timbaud, just around the corner from the Bataclan theater, reflects the civic pluralism and street life that the attackers loathed and feared."
9,2014-10-09T02:31:53+0000,U.S. Steps Up Fight to Block ISIS Volunteers,World,"The Justice Department says it must focus on Americans traveling abroad because they could receive training, become radicalized, and then return to the United States to launch attacks."
0,2016-03-14T16:26:58+0000,"Turkey ‘Almost Certain’ that Kurdish Militants Bombed Ankara, Premier Says",World,"The government’s blaming the Kurdistan Workers’ Party, or P.K.K., could raise tensions between Turkey and the United States, who are allies in Syria."
1,2015-08-31T22:40:52+0000,"In Vienna, Trains Packed With Refugees Are Welcomed and Ushered On",World,"Arriving from Hungary, hundreds of determined migrants switched trains at the Westbahnhof rail station as they pressed on for Germany."
2,2015-09-10T19:18:26+0000,Northern Ireland Faces Crisis as Unionist First Minister Resigns,World,Peter Robinson and his party members stepped down after other parties refused to suspend assembly business during an investigation into the murder of a former Irish Republican Army member.
3,2015-04-14T23:36:37+0000,"Looking Back at the Holocaust, Through a Child’s Eyes",World,"A new exhibit in Jerusalem collects memories, toys and drawings from children who survived and from some of the many who did not."
4,2015-01-31T04:44:24+0000,"Stig Bergling, a Cold War Spy Known for His Escape, Dies at 77",World,"Mr. Bergling, sentenced to life in prison in 1979 for selling military secrets to the Soviet Union, fled from custody during a conjugal visit with his wife."
5,2016-01-23T11:01:36+0000,"Palestinian Girl With Knife Killed by Israeli Guard, Police Say",World,The police in Israel said the 13-year-old girl was shot by a civilian guard outside a West Bank settlement after running at him with a knife.
6,2015-09-16T13:08:21+0000,Mexico Presses Egypt for Inquiry Into Deadly Attack on Tourists,World,"Egypt’s foreign minister assured his Mexican counterpart that there would be a full investigation of the attack that killed 12, including eight Mexicans."
7,2015-08-08T06:50:54+0000,Father of Palestinian Toddler Killed in West Bank Arson Attack Dies in Hospital,World,"Saad Dawabsheh was severely burned in the July 31 firebombing that killed his 18-month-old son, Ali, for which Jewish extremists have been blamed."
8,2015-09-03T20:28:27+0000,American Yeshiva Students Escape Attack in West Bank Town,World,"Five American Jewish seminary students were rescued from an attack by local Palestinians who hurled stones and a firebomb at their car, said the Israeli police and the military."
9,2014-12-21T04:45:05+0000,Fuel Rods Are Removed From Damaged Fukushima Reactor Building,World,"Tokyo Electric Power Company passed one milestone, but faces the far more challenging task of removing the ruined fuel cores from the three reactors that melted down."
0,2016-01-28T17:09:10+0000,Rouhani Goes Shopping in Europe as Iran Enjoys New Economic Freedoms,World,"With the lifting of sanctions, President Hassan Rouhani is on a state visit to Europe, signing multimillion-dollar deals for goods that Iran was unable to buy for years."
1,2015-10-06T17:17:58+0000,BBC Casts Doubt on Claims of British Pedophile Ring,World,The BBC says many of the claims made by a central witness in the case cannot be confirmed with public records.
2,2015-06-09T21:23:39+0000,"Amid MERS Outbreak, Readers Reflect on South Korean Hospitals",World,"Responding on Facebook, readers who either live or have spent time in South Korea shared their experiences of the hospitals there."
3,2015-04-30T17:30:59+0000,"Israel Detains Palestinian Boys, 7 and 12, for Throwing Stones",World,"Relatives of Ahmad Zaatari, 7, and his cousin Mohammed Zaatari, 12, said the boys were accused of throwing stones at an Israeli bus and were detained for hours."
4,2015-04-29T16:09:05+0000,1965: Marines at Embassy Open Fire,World,From the International Herald Tribune archives: U.S. embassy attacked in Santo Domingo in 1965.
5,2015-01-14T17:38:02+0000,1915: Thousands Dead in Earthquake,World,"Highlights from the International Herald Tribune archives: 1915: Thousands dead in earthquake in Avezzano, Italy"
6,2016-03-13T11:36:19+0000,Setback for Angela Merkel as Far Right Makes Gains in Germany,World,"As three states voted, the ascendance of the Alternative for Germany pointed to strains from the chancellor’s policy of accepting refugees."
7,2014-12-20T01:48:29+0000,"For Russians Abroad, a Ruble Doesn’t Go as Far as It Used To ",World,"The collapse of the Russian ruble — down more than 45 percent this year — has jangled nerves in Russia, but the reverberations are being felt in tourist destinations across Europe."
8,2014-10-03T00:30:31+0000,Turkey Votes to Allow Operations Against ISIS,World,"Parliament also voted Thursday to allow foreign forces to launch operations from Turkey, but it was far from clear if the political step would soon translate into military action."
9,2015-12-09T10:00:22+0000,They Helped Erase Ebola in Liberia. Now Liberia Is Erasing Them.,World,"Thirty young men spent months burning the bodies of the infected. A year later, many relatives and fellow countrymen still can’t forgive them."
0,2015-02-03T17:02:09+0000,"Jordanian Pilot’s Death, Shown in ISIS Video, Spurs Jordan to Execute Prisoners",World,"After a video appeared to show the burning of First Lt. Moaz al-Kasasbeh, Jordan executed Sajida al-Rishawi — who was convicted in a suicide bombing plot — and a top lieutenant of Al Qaeda in Iraq."
1,2015-06-17T14:58:23+0000,Where ISIS Has Directed and Inspired Attacks Around the World,World,"More than a dozen countries have had attacks since the Islamic State, or ISIS, began to pursue a global strategy in the summer of 2014."
2,2015-10-16T09:11:07+0000,Nigeria President Escalates Campaign to Stem Corruption,World,"Since assuming power in May, President Muhammadu Buhari has squeezed the flow of public funds in an effort to clean up Africa’s biggest economy."
3,2016-01-09T23:22:56+0000,A Tumultuous Housing Program in Algeria,World,"A government housing program in Algeria is one of the most ambitious in the region, but critics say it is creating as many problems as it solves."
4,2015-10-07T14:34:35+0000,"As Egypt Floods Gaza Tunnels, Smugglers Fear an End to Their Trade",World,Only about 20 tunnels of 250 that once played a central role in the economy of Rafah are still operating — the worst situation smugglers can remember.
5,2015-11-30T18:53:34+0000,Asia Covered in Smog as Leaders Meet,World,"As more than 150 global leaders meet in Paris to discuss climate change, Asia remains coated in a thick layer of smog from eastern China down to New Delhi."
6,2015-07-01T15:09:41+0000,1915: A Lusitania Passenger Is Heard,World,From the International Herald Tribune archives: A passenger blamed the captain in the Lusitania disaster in 1915.
7,2014-11-17T15:08:45+0000,1914: France’s Champagne Prospects,World,Highlights from the International Herald Tribune archives: 1914: France’s Champagne Prospects Good Inspite of the War.
8,2014-11-05T00:23:30+0000,Kashmir Protests Follow Shootings,World,"Protests broke out in Indian-administered Kashmir on Tuesday, a day after Indian soldiers fatally shot two people in a car that did not stop at a checkpoint."
9,2014-10-23T11:40:58+0000,1939: Soviets Push Into China,World,Highlights from the International Herald Tribune archives: Soviet agents entered China in 1939.
