,dates,headline,section_name,abstract
4,2015-05-31T13:17:32+0000,Grim History Traced in Sunken Slave Ship Found Off South Africa,World,"The Smithsonian will announce Tuesday that the wreckage of a vessel that sank in 1794 has been found, the first time a slaving ship that went down with slaves aboard has been recovered."
5,2016-01-01T14:37:23+0000,Gunman Kills 2 in Tel Aviv in Attack on a Busy Street,World,An intense manhunt was underway for the man who opened fire on a packed commercial street.
6,2016-02-29T01:29:29+0000,Day 2 of Syrian Partial Truce Is Marred by Violence,World,"A number of airstrikes and artillery attacks, reported by the warring sides, demonstrated the challenges of even a limited deal."
7,2014-11-04T19:37:16+0000,Protests Erupt in Kashmir After Army Shooting,World,"A day after Indian soldiers shot dead two people in a car that did not stop at a checkpoint, angry crowds gathered in Kashmir, chanting slogans and throwing stones."
8,2015-12-12T12:38:04+0000,Doctors Without Borders Raises Death Toll in Kunduz Strike to 42,World,"The number of those killed in a U.S. airstrike that destroyed a hospital in Kunduz was higher than previously thought, the medical organization said."
9,2015-03-09T20:53:41+0000,Two Fall Into Sinkhole in Seoul,World,Security footage captured the moment a man and a woman stepped off a bus and fell into a sinkhole in the capital of South Korea.
0,2015-09-09T11:16:30+0000,Camerawoman Kicks Migrants in Hungary,World,An employee of a private television channel associated with Hungary’s far-right Jobbik party was filmed kicking migrants.
1,2014-10-26T13:19:45+0000,1964: Future of Concorde in Question as Britain Asks for Project Review,World,Highlights from the International Herald Tribune archives: A review threatens the development of the Concorde in 1964.
2,2015-03-12T16:25:55+0000,Netanyahu and the Settlements,World,"The Israeli leader’s settlement policy resembles his predecessors’, but it is a march toward permanence at a time when prospects for peace are few."
3,2016-03-10T23:34:35+0000,"Brazil Prosecutors Seek Arrest of ‘Lula,’ Former President, in Graft Case",World,"The former president, Luiz Inácio Lula da Silva, is by far the biggest figure to be ensnared in sweeping investigations that have rattled almost every level of government."
4,2015-08-06T09:10:52+0000,Cuban Youth Wait for Change to Filter Down to Their Lives,World,"There is an air of cynicism among Cuban young people, who see the ideals of Fidel Castro’s revolution as dated as the battered cars on Havana’s streets."
5,2015-06-10T20:20:27+0000,Vatican City Welcomes Putin,World,President Vladimir V. Putin of Russia arrived at the Vatican for a meeting with Pope Francis.
6,2014-10-21T14:36:25+0000,Response to Possible Terrorism in Canada,World,"Lt. Guy LaPointe, the spokesman for Québec’s provincial police, and Stephen Harper, the Canadian prime minister, spoke after a man ran over two soldiers with his car at a Quebec parking lot."
7,2016-02-05T16:21:13+0000,"Tianjin Explosions Were Result of Mismanagement, China Finds",World,"Citing dereliction of duty, Chinese cabinet officials vowed to punish 123 government workers in connection with the blasts in August, which killed 165 people."
8,2015-02-27T20:16:24+0000,Pakistani Officials Issue Arrest Warrants Over Refusals of Polio Vaccine,World,Police officials in the northwest province of Khyber-Pakhtunkhwa said they had issued hundreds of arrest warrants for parents who have refused to vaccinate their children.
9,2014-10-01T11:51:19+0000,Taliban Stage Attacks on Day After Afghanistan and U.S. Sign Security Deal,World,"The strikes on military transport vehicles killed seven Afghan soldiers and wounded nearly 20 others, officials said."
0,2014-11-07T19:45:39+0000,Indian Army Takes Responsibility for Killing 2 Civilians in Kashmir,World,The army called the shooting at a checkpoint a case of mistaken identity.
1,2014-10-10T14:48:59+0000,1914: Antwerp Is Left in Flames,World,Highlights from the International Herald Tribune archives: Antwerp is ravaged by German shells in 1914.
2,2015-10-20T16:34:44+0000,Le Pen on Trial for Comments on Muslims,World,The French far right leader Marine Le Pen is about to go on trial for comments she made five years ago comparing Muslim street prayers to a foreign occupation.
3,2015-07-31T17:37:38+0000,Philippines’ President Endorses Mar Roxas as Successor,World,"President Benigno S. Aquino III praised Mr. Roxas, his interior secretary, as the candidate most likely to carry on his anticorruption efforts."
4,2015-07-29T01:04:57+0000,Hundreds of Migrants Try to Cross English Channel on Freight Trains,World,"Group after group of migrants made their way to the Eurotunnel compound in Calais overnight on Monday, climbing over fences and other barriers in a desperate bid to reach Britain."
5,2015-06-19T01:09:17+0000,Anti-Immigrant Party Gains in Denmark Elections,World,"The far-right Danish People’s Party emerged in second place over all, raising questions about the role it could play in a new government."
6,2015-01-27T15:38:18+0000,Aftermath of Tripoli Hotel Bomb Blast,World,Amateur video shows black smoke rising outside Tripoli’s luxury Corinthia Hotel in Libya on Tuesday after gunmen detonated a car bomb before storming the building.
7,2015-04-27T12:34:37+0000,"Nepal Villages Cut Off by Earthquake Wait for Aid as Death Toll Passes 4,000",World,"Residents of the Gorkha district say houses collapsed, food is running out and so far no one has arrived with aid."
8,2015-12-01T16:19:19+0000,AirAsia Flight 8501 Crash Findings,World,"An AirAsia passenger jet plunged into the Java Sea in late 2014 because of a faulty component coupled with the crew's response, a crash investigator said on Tuesday."
9,2014-10-09T17:55:44+0000,Insurgents in Pakistan Stepping Up Iran Strikes,World,"The insurgents have increased attacks on Iranian border posts, employing methods similar to those used by Islamic State militants."
0,2015-08-31T18:42:47+0000,Reformist Iranian Politician Is Said to Be Held,World,Some in Iran disputed reports that Ali Shakorirad had been arrested hours after he held a news conference thanking President Hassan Rouhani for a more open political climate.
1,2015-11-15T01:18:13+0000,"Paris Gunmen Single Out François Hollande, and Leave Him With Few Palatable Responses",World,"The French president, who was reportedly mentioned by name as attackers stormed a rock concert in Paris, faces a difficult and perilous path forward as he decides how to respond."
2,2015-12-13T20:43:35+0000,National Front Party in France Is Dealt a Setback in Regional Elections,World,"After a strong showing in the first round, the latest vote appears to confound expectations that the anti-immigrant party was on the verge of an electoral breakthrough."
3,2016-02-17T22:54:37+0000,Turkish Official Describes Attack,World,"Deputy Prime Minister Numan Kurtulmus of Turkey confirmed that several people were killed, both civilians and soldiers, when a car bomb exploded in the capital, Ankara."
4,2015-07-07T12:18:32+0000,Kabul Suicide Bomber Targets NATO Convoy,World,"At least four civilians were wounded Tuesday morning when a car bomb struck vehicles transporting a group of soldiers in Kabul, Afghanistan."
5,2015-12-04T17:23:04+0000,Russian Truck Drivers Protest New Fees,World,Russian truck drivers protested new road tolls by driving to Moscow and threatening to block a belt road around the Russian capital.
6,2014-10-27T14:02:39+0000,Ukrainian Voters Affirm Embrace of Europe and Reject Far Right ,World,"The preliminary results solidified the authority of a government that, despite European backing, has been unable to suppress a pro-Russian separatist movement."
7,2014-12-09T00:31:13+0000,Allies to Bolster U.S. Troops Advising Iraqis,World,"The combined number of military advisers helping Iraq forces in their fight against the Islamic State would be 4,500."
8,2015-11-15T18:12:28+0000,Weapons Found in Abandoned Car,World,"Residents of Montreuil, a suburb east of Paris, described how the police removed several AK-47 rifles, of the sort used during the attacks in Paris, from an abandoned black Seat Leon early on Sunday."
9,2014-11-22T20:47:07+0000,"In Iran Talks, U.S. Seeks to Prevent a Covert Weapon",World,"Unstated during negotiations is the fear of a “sneakout,” the risk of a bomb being produced at an undetected facility, or built from fuel and components obtained from one of Iran’s few trading partners."
0,2015-12-06T00:14:06+0000,"With Burundi’s President Sticking to Power, Violence Is on the Rise",World,"Since April, when President Pierre Nkurunziza said he would run for a contentious third term, this country in central Africa has had an ominous cloud hanging over it."
1,2015-01-08T01:54:02+0000,Violence Grows in Yemen as Al Qaeda Tries to Fight Its Way Back,World,"Houthi fighters seized control of the Yemeni capital of Sana in September, promising radical political reforms, but Sunni extremists have retaliated with growing ferocity."
2,2016-01-19T19:20:34+0000,Aftermath of Bus Crash in Peru,World,"A passenger bus fell into a river in the town of San Felix in the Chanchamayo Province of Peru on Monday, killing several people. The bus was heading to the jungle city of Pichanaki from Huancayo, according to Peru Reports."
3,2014-12-04T22:00:06+0000,Q. and A.: Chip Jacobs on Struggling With Smog in Los Angeles and Beijing,World,"Chip Jacobs, a Los Angeles-based writer who co-wrote “Smogtown: The Lung-Burning History of Pollution in Los Angeles,” discusses China’s smog crisis."
4,2015-12-13T13:50:21+0000,1940: Britain Warned Drive in Africa May Be Slowed,World,From the International Herald Tribune archives: Italian forces are battered in Africa by British troops in 1940.
5,2015-09-11T13:23:20+0000,1940: Royalty Visits Ruined Homes,World,From the International Herald Tribune archives: Sovereigns take refuge in London as Nazi bombers attack in 1940.
6,2014-10-13T16:06:58+0000,Car Bomb Kills at Least 15 in Somalia,World,A car with explosives was detonated near a popular cafe in Mogadishu in what the government says was an act of terrorism by the Shabab militant group.
7,2016-03-13T18:47:25+0000,"Explosion in Ankara Kills at Least 34, Turkish Officials Say",World,"The blast in Turkey’s capital, less than a month after a bombing on a military convoy in the city, was believed to have been caused by a car bomb."
