Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Signal
EBOLA,2014-03-04,H,L,3,-1.5041731771454958,-4.512519531436487,N
EBOLA,2014-03-05,L,H,2,0.21417636850895594,0.4283527370179119,N
EBOLA,2014-03-06,H,H,4,-0.9849516543871562,-3.9398066175486246,N
EBOLA,2014-03-07,L,L,1,-0.628752827116219,-0.628752827116219,N
EBOLA,2014-03-10,L,H,2,0.1416583260143378,0.2833166520286756,N
EBOLA,2014-03-11,L,L,1,0.26405035586523073,0.26405035586523073,N
EBOLA,2014-03-12,H,H,4,0.6960101580135492,2.7840406320541966,N
EBOLA,2014-03-13,H,H,4,1.3450420576320177,5.380168230528071,N
EBOLA,2014-03-14,L,L,1,0.018430414746539725,0.018430414746539725,N
EBOLA,2014-03-17,H,L,3,-0.746404370062792,-2.239213110188376,N
EBOLA,2014-03-18,L,H,2,0.362082446960188,0.724164893920376,N
EBOLA,2014-03-19,H,H,4,-0.7770545934700168,-3.1082183738800673,N
EBOLA,2014-03-20,L,H,2,-0.17714152196268707,-0.35428304392537413,N
EBOLA,2014-03-21,H,H,4,1.0834061828710162,4.333624731484065,N
EBOLA,2014-03-24,H,L,3,0.7114450509624337,2.134335152887301,N
EBOLA,2014-03-25,L,L,1,-0.37615045871559616,-0.37615045871559616,N
EBOLA,2014-03-26,H,H,4,0.7827663977444166,3.1310655909776663,N
EBOLA,2014-03-27,L,H,2,0.5025548153772874,1.0051096307545748,N
EBOLA,2014-03-28,L,H,2,-0.5636830723462771,-1.1273661446925543,N
EBOLA,2014-03-31,L,L,1,-0.24687299313688182,-0.24687299313688182,N
EBOLA,2014-04-01,H,L,3,-1.109073347554046,-3.327220042662138,N
EBOLA,2014-04-02,L,L,1,-0.5746612343559332,-0.5746612343559332,N
EBOLA,2014-04-03,L,L,1,0.438147677024725,0.438147677024725,N
EBOLA,2014-04-04,L,H,2,0.6682764185683254,1.3365528371366509,N
EBOLA,2014-04-07,L,L,1,0.5993011303641937,0.5993011303641937,N
EBOLA,2014-04-08,L,H,2,0.2382934631262712,0.4765869262525424,N
EBOLA,2014-04-09,L,H,2,-0.4937377573263735,-0.987475514652747,N
EBOLA,2014-04-10,H,H,4,0.9280473963420466,3.7121895853681863,N
EBOLA,2014-04-11,H,L,3,0.8102758852977399,2.4308276558932196,N
EBOLA,2014-04-14,L,H,2,-0.26189920720943727,-0.5237984144188745,N
EBOLA,2014-04-15,L,H,2,0.6247690940824002,1.2495381881648004,N
EBOLA,2014-04-16,L,L,1,0.12597858704161968,0.12597858704161968,N
EBOLA,2014-04-17,H,H,4,-1.0964267393662297,-4.385706957464919,N
EBOLA,2014-04-21,L,H,2,-0.08178464111446848,-0.16356928222893696,N
EBOLA,2014-04-22,L,L,1,0.33648872623217585,0.33648872623217585,N
EBOLA,2014-04-23,L,L,1,0.571011500570795,0.571011500570795,N
EBOLA,2014-04-24,L,L,1,0.1892564905304317,0.1892564905304317,N
EBOLA,2014-04-25,L,L,1,0.1439273211105263,0.1439273211105263,N
EBOLA,2014-04-28,L,L,1,-0.4850453519258946,-0.4850453519258946,N
EBOLA,2014-04-29,L,L,1,-0.13539308479652012,-0.13539308479652012,N
EBOLA,2014-04-30,L,H,2,0.41576193434347264,0.8315238686869453,N
EBOLA,2014-05-01,H,H,4,0.8280819230977787,3.312327692391115,N
EBOLA,2014-05-02,L,L,1,0.6159632373494928,0.6159632373494928,N
EBOLA,2014-05-05,L,H,2,-0.603318255729901,-1.206636511459802,N
EBOLA,2014-05-06,L,L,1,0.4016816959892866,0.4016816959892866,N
EBOLA,2014-05-07,L,L,1,-0.3556196562334635,-0.3556196562334635,N
EBOLA,2014-05-08,L,L,1,-0.4282690858624427,-0.4282690858624427,N
EBOLA,2014-05-09,L,H,2,-0.3225806509423057,-0.6451613018846114,N
EBOLA,2014-05-12,L,L,1,-0.404528054738007,-0.404528054738007,N
EBOLA,2014-05-13,H,L,3,0.8665032867000377,2.599509860100113,N
EBOLA,2014-05-14,H,H,4,1.0827731543624042,4.331092617449617,N
EBOLA,2014-05-15,H,H,4,0.7967439872232918,3.186975948893167,N
EBOLA,2014-05-16,L,H,2,-0.2810468972330282,-0.5620937944660565,N
EBOLA,2014-05-19,H,H,4,-0.7398308900842809,-2.9593235603371237,N
EBOLA,2014-05-20,L,L,1,0.22182786748432548,0.22182786748432548,N
EBOLA,2014-05-21,L,L,1,-0.6108853637242673,-0.6108853637242673,N
EBOLA,2014-05-22,L,L,1,-0.1425298389002405,-0.1425298389002405,N
EBOLA,2014-05-23,L,H,2,0.5352355135635145,1.070471027127029,N
