Date,Open,High,Low,Close,Volume
5/7/15,121.43,122.57,121.349998,122.18,11933700
5/8/15,123.379997,123.550003,122.309998,122.510002,11716400
5/11/15,121.620003,121.650002,119.5,119.529999,13738600
5/12/15,119.139999,120.629997,118.82,119.839996,15861700
5/13/15,120.650002,120.720001,118.639999,118.879997,15760000
5/14/15,118.919998,119.830002,118.690002,119.199997,9128400
5/15/15,120.379997,121.910004,120.290001,121.589996,12630600
5/18/15,120.32,120.43,119.470001,119.550003,10208300
5/19/15,118.269997,119.839996,118.129997,118.489998,8435300
5/20/15,118.769997,119.449997,118.18,118.690002,7789700
5/21/15,119.580002,120.610001,119.449997,120.349998,11760700
5/22/15,120.650002,120.75,119.800003,120.400002,5417900
5/26/15,120.839996,122.550003,120.739998,122.459999,10469700
5/27/15,122.18,122.860001,121.610001,122.739998,6490300
5/28/15,122.5,123.029999,122.220001,122.440002,6237600
5/29/15,123.230003,123.57,122.510002,122.709999,7912000
6/1/15,122.110001,122.379997,120.690002,121.129997,13108100
6/2/15,120.169998,120.260002,119.110001,119.440002,10076200
6/3/15,118.389999,118.599998,117.199997,117.519997,14810900
6/4/15,118.260002,119.290001,118.139999,119.050003,10859300
6/5/15,117.839996,118.57,117.379997,117.599998,11200200
6/8/15,117.959999,118.160004,117.370003,117.470001,5334000
6/9/15,117.059998,117.129997,116.110001,116.540001,12393900
6/10/15,115.919998,116.129997,115.260002,115.519997,12183600
6/11/15,116.559998,117.970001,116.239998,117.949997,13849300
6/12/15,117.589996,119.07,117.550003,117.949997,7863100
6/15/15,118.889999,119.059998,117.739998,118.139999,8194200
6/16/15,118.610001,119.080002,117.940002,119.07,7046400
6/17/15,118.5,118.629997,117.25,118.150002,13626100
6/18/15,117.370003,117.739998,116.75,117.57,10123300
6/19/15,118.510002,119.190002,118.489998,119.080002,10439200
6/22/15,117.839996,118.139999,116.589996,116.650002,9769000
6/23/15,115.730003,116.959999,115.690002,115.949997,8945100
6/24/15,116.510002,117.169998,116.160004,116.949997,8600400
6/25/15,116.589996,117.080002,116.190002,116.540001,8287800
6/26/15,115.669998,115.870003,114.879997,115.230003,11673000
6/29/15,116.959999,118.669998,116.459999,118.279999,17132900
6/30/15,117.400002,118.699997,117.330002,117.459999,13469000
7/1/15,115.82,116.360001,115.43,115.620003,12451500
7/2/15,116.32,116.660004,115.879997,116,6682100
7/6/15,118.050003,118.650002,117.059998,118.150002,10605800
7/7/15,119.660004,120.489998,118.949997,119.260002,16160100
7/8/15,120.019997,120.57,119.5,120.290001,9951800
7/9/15,118.699997,119.120003,117.849998,117.919998,11108900
7/10/15,116.040001,116.720001,115.760002,116.050003,13636600
7/13/15,115.389999,116.459999,115.389999,115.690002,8006700
7/14/15,116.019997,116.269997,115.660004,116.07,4227800
7/15/15,116.110001,117.550003,116.040001,117.300003,8720400
7/16/15,116.889999,118.160004,116.870003,118.110001,7306500
7/17/15,118.370003,118.889999,118.360001,118.720001,7404900
7/20/15,118.290001,118.650002,117.900002,118.220001,5941000
7/21/15,117.68,118.93,117.660004,118.860001,5627500
7/22/15,119.010002,119.900002,118.949997,119.599998,6228900
7/23/15,119.599998,121.199997,119.449997,121.089996,9087700
7/24/15,121.5,121.550003,120.919998,121.389999,7307900
