,sentiment,totalScores,positive,negative
2017-09-12 00:00:00,0.012279944444444444,1800,0.73,0.27
2017-09-13 00:00:00,-0.026263423645320198,1624,0.73,0.27
2017-09-14 00:00:00,0.015004152418172935,2047,0.77,0.23
2017-09-15 00:00:00,0.039298650234741786,1704,0.78,0.22
2017-09-16 00:00:00,0.0035379446640316204,253,0.81,0.19
2017-09-17 00:00:00,0.0741265664160401,399,0.82,0.18
2017-09-18 00:00:00,0.041241834743005856,1537,0.75,0.25
2017-09-19 00:00:00,0.033493761581222976,1619,0.78,0.22
2017-09-20 00:00:00,0.008378971193415638,2430,0.75,0.25
2017-09-21 00:00:00,-0.0033050767414403775,1694,0.75,0.25
2017-09-22 00:00:00,-0.01001162566328992,2073,0.72,0.28
2017-09-23 00:00:00,-0.005409433962264151,371,0.82,0.18
2017-09-24 00:00:00,-0.00645050505050505,495,0.79,0.21
2017-09-25 00:00:00,-0.020775180972078595,1934,0.72,0.28
2017-09-26 00:00:00,-0.007819766206163654,1882,0.75,0.25
2017-09-27 00:00:00,0.013060869565217391,2369,0.76,0.24
2017-09-28 00:00:00,0.05455609031491384,1683,0.78,0.22
2017-09-29 00:00:00,0.04336074254412659,1643,0.79,0.21
2017-09-30 00:00:00,0.0012475903614457833,332,0.79,0.21
2017-10-01 00:00:00,0.043120229885057475,435,0.82,0.18
2017-10-02 00:00:00,0.029269375907111757,2067,0.75,0.25
2017-10-03 00:00:00,0.08995767613038906,1902,0.77,0.23
2017-10-04 00:00:00,0.01307432735426009,1784,0.75,0.25
2017-10-05 00:00:00,0.07807253460207612,2312,0.79,0.21
2017-10-06 00:00:00,0.02748696837513631,1834,0.75,0.25
2017-10-07 00:00:00,0.06410550161812298,309,0.83,0.17
2017-10-08 00:00:00,0.05648442822384428,411,0.84,0.16
2017-10-09 00:00:00,0.01690956937799043,1463,0.74,0.26
2017-10-10 00:00:00,0.033969483315392894,1858,0.75,0.25
2017-10-11 00:00:00,0.060307111834962,1842,0.78,0.22
2017-10-12 00:00:00,0.006180734463276836,1770,0.74,0.26
2017-10-13 00:00:00,-0.0012344105326152004,1671,0.75,0.25
2017-10-14 00:00:00,-0.04720965517241379,290,0.78,0.22
2017-10-15 00:00:00,0.012087417218543046,302,0.8,0.2
2017-10-16 00:00:00,-0.009212864622288706,1337,0.73,0.27
2017-10-17 00:00:00,0.01073514450867052,1730,0.75,0.25
2017-10-18 00:00:00,0.017535504070131498,1597,0.75,0.25
2017-10-19 00:00:00,-0.019763721940622737,2762,0.69,0.31
2017-10-20 00:00:00,0.07546241032998566,2091,0.79,0.21
2017-10-21 00:00:00,0.005917538461538462,325,0.82,0.18
2017-10-22 00:00:00,0.07274041994750656,381,0.81,0.19
2017-10-23 00:00:00,-0.022227552204176337,1724,0.72,0.28
2017-10-24 00:00:00,0.009702051835853131,1852,0.76,0.24
2017-10-25 00:00:00,0.022352653213751867,2676,0.72,0.28
2017-10-26 00:00:00,0.017648275862068966,1537,0.77,0.23
2017-10-27 00:00:00,0.08587088607594937,1580,0.81,0.19
2017-10-28 00:00:00,0.06481786666666667,375,0.86,0.14
2017-10-29 00:00:00,0.07213842105263159,380,0.84,0.16
2017-10-30 00:00:00,0.017068387507966857,1569,0.8,0.2
2017-10-31 00:00:00,0.029833681672025724,1244,0.8,0.2
2017-11-01 00:00:00,0.04061280453257791,1765,0.79,0.21
2017-11-02 00:00:00,0.021774335378323108,1956,0.78,0.22
2017-11-03 00:00:00,0.04318235294117647,1224,0.78,0.22
2017-11-04 00:00:00,-0.013334962406015038,266,0.79,0.21
2017-11-05 00:00:00,0.03169068493150685,365,0.79,0.21
2017-11-06 00:00:00,0.04953052050473186,1268,0.78,0.22
2017-11-07 00:00:00,-0.019141653666146643,1923,0.72,0.28
2017-11-08 00:00:00,0.025826256652868123,1691,0.77,0.23
2017-11-09 00:00:00,0.004469993876301286,3266,0.72,0.28
2017-11-10 00:00:00,-0.03773822857142857,1750,0.68,0.32
2017-11-11 00:00:00,-0.01828221343873518,253,0.78,0.22
2017-11-12 00:00:00,0.0008729824561403509,285,0.79,0.21
2017-11-13 00:00:00,0.04842423288749016,1271,0.76,0.24
2017-11-14 00:00:00,-0.005953522554485555,1973,0.72,0.28
2017-11-15 00:00:00,0.019400061977068485,3227,0.74,0.26
2017-11-16 00:00:00,0.050023590333716915,2607,0.78,0.22
2017-11-17 00:00:00,0.05335901106050748,1537,0.8,0.2
2017-11-18 00:00:00,0.006580970149253731,268,0.81,0.19
2017-11-19 00:00:00,-0.02226448275862069,290,0.81,0.19
2017-11-20 00:00:00,0.05015935828877006,1309,0.79,0.21
2017-11-21 00:00:00,0.06711632653061224,1911,0.79,0.21
2017-11-22 00:00:00,0.015632325268817204,1488,0.75,0.25
2017-11-23 00:00:00,-0.05240526315789473,228,0.74,0.26
2017-11-24 00:00:00,0.05938947368421052,570,0.79,0.21
2017-11-25 00:00:00,0.05889230769230769,169,0.86,0.14
2017-11-26 00:00:00,0.089629296875,256,0.86,0.14
2017-11-27 00:00:00,-0.0037294403892944037,1233,0.75,0.25
2017-11-28 00:00:00,0.04301236842105263,2660,0.77,0.23
2017-11-29 00:00:00,0.0003941986234021632,2034,0.75,0.25
2017-11-30 00:00:00,0.013870319108035371,2601,0.74,0.26
2017-12-01 00:00:00,0.02231220930232558,3956,0.77,0.23
2017-12-02 00:00:00,0.053454922279792746,1158,0.86,0.14
2017-12-03 00:00:00,0.06056183908045977,870,0.81,0.19
2017-12-04 00:00:00,-0.009746313506815365,3228,0.71,0.29
2017-12-05 00:00:00,-0.026231400090620752,2207,0.73,0.27
2017-12-06 00:00:00,-0.01063965601965602,2035,0.73,0.27
2017-12-07 00:00:00,0.019843481138318995,1511,0.76,0.24
2017-12-08 00:00:00,0.04577259580621836,1383,0.78,0.22
2017-12-09 00:00:00,0.08916748251748251,286,0.87,0.13
2017-12-10 00:00:00,0.012776556776556777,273,0.81,0.19
2017-12-11 00:00:00,0.04140662598081953,1147,0.78,0.22
2017-12-12 00:00:00,0.026913846153846153,1495,0.76,0.24
2017-12-13 00:00:00,0.026765642737896493,2995,0.79,0.21
2017-12-14 00:00:00,-0.022691430020283978,1972,0.72,0.28
2017-12-15 00:00:00,0.09172862300154719,1939,0.81,0.19
2017-12-16 00:00:00,0.06017753424657534,365,0.83,0.17
2017-12-17 00:00:00,0.0464,356,0.81,0.19
2017-12-18 00:00:00,0.033884933426769445,1427,0.76,0.24
2017-12-19 00:00:00,-0.008948976608187135,1368,0.75,0.25
