,dates,headline,section_name,abstract
9,2017-06-18T11:12:26+0000,"Portugal Fires Kill More Than 60, Including Drivers Trapped in Cars",World,Prime Minister António Costa said the blaze in the Pedrógão Grande area was “the worst tragedy in terms of human lives that we’ve known in recent years.”
0,2017-07-21T07:00:28+0000,"For Right-Wing Italian Youth, a Mission to Disrupt Migration",World,The plan is to monitor aid ships that are rescuing migrants at danger in the Mediterranean.
1,2017-04-20T11:22:21+0000,Marine Le Pen Leads Far-Right Fight to Make France ‘More French’,World,"Slipping in polls before the first round of a presidential election, the leader of the far-right National Front vowed to clamp down on foreigners, thrilling her base."
2,2017-06-18T06:32:00+0000,Taliban Attack Major Base in Eastern Afghanistan,World,"Officials said five police officers were killed in the attack in the province of Paktia, which began when a suicide bomber detonated a car full of explosives at the gate of the compound."
3,2016-05-22T17:47:18+0000,"In Austrian Election, Far-Right Candidate Is Deadlocked With Rival",World,"Norbert Hofer of the Freedom Party was in a virtual dead heat with Alexander Van der Bellen, a former Green Party leader, in the presidential election on Sunday."
4,2017-02-02T08:00:27+0000,The Travel Ban and an Authoritarian ‘Ladder of Violence’,World,Scholars who study the history of authoritarianism suggest parallels between repressive regimes and President Trump’s moves to limit Muslim immigration.
5,2017-05-17T18:02:25+0000,"Iran Nuclear Deal Will Remain for Now, White House Signals",World,"A statement on Iran came two days before Iranian elections, and just before President Trump’s first overseas trip as president."
6,2016-08-02T16:54:33+0000,Singapore's Prime Minister Visits U.S.,World,"Prime Minister Lee Hsien Loong of Singapore visited Washington this week, the first visit of a Singaporean prime minister in more than 30 years."
7,2017-03-15T15:29:05+0000,"In Denmark, Passage of Rules on Immigration Called for Cake",World,"Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise."
8,2016-09-17T01:33:51+0000,Violence Flares With 4 Attacks on Israelis in Jerusalem and West Bank,World,"Four Arabs who tried to attack Israelis were shot and killed, shattering a relative lull and renewing fears of a wider conflict."
9,2016-03-19T01:26:34+0000,Cholera Deaths in Haiti Could Far Exceed Official Count,World,"Officially, 9,200 people have died in the epidemic that began after the 2010 earthquake. But the real figure could be much worse, researchers found."
0,2017-10-07T17:21:07+0000,"Russians, Heeding Navalny’s Call, Mark Putin’s Birthday With Protest",World,"Youths across Russia answered a protest call from the jailed opposition leader, Aleksei Navalny, but bad weather and fear of a harsh police response limited the turnout in Moscow."
1,2016-03-31T18:23:09+0000,"Gilles Laurent, a Filmmaker With an Eye for Sounds, Dies in Brussels Attacks",World,"Mr. Laurent, 46, had such an intimate connection with the noises of everyday life that his collaborators say he “looked” at sounds as if observing an object."
2,2017-10-30T23:27:55+0000,Putin Critic Who Fought Pro-Russia Rebels Shot Dead in Ukraine,World,"A couple who survived an assassination attempt in June were attacked by a gunman spraying their car with bullets, killing the wife and injuring the husband."
3,2017-09-05T16:34:30+0000,British Soldiers Arrested on Suspicion of Being Neo-Nazis,World,"The four men are suspected of membership in a banned neo-Nazi party and involvement in the “preparation and instigation of acts of terrorism,” the police said."
4,2016-07-25T11:05:54+0000,"Salman Khan, Bollywood Star, Acquitted in 2 Poaching Cases in India",World,"The ruling overturned an earlier conviction of the actor in the killings of protected deer in Rajasthan State in 1998, a case that set off a public furor."
5,2017-05-22T13:31:11+0000,Drilling for a Dream in Myanmar,World,Striking oil doesn’t mean striking it rich in the hardscrabble oil fields in south central Myanmar.
6,2016-09-08T00:14:52+0000,American Is Hospitalized in Thailand After Sexual Assault,World,A 23-year-old English teacher from New York is partly paralyzed after falling off a cliff trying to escape her assailant in southern Thailand.
