Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
ZIKA,2016-08-10,L,L,1,0.4688957523358628,0.4688957523358628,L,L,L,N
ZIKA,2016-08-11,H,H,4,-0.6922837693261408,-2.769135077304563,L,L,L,N
ZIKA,2016-08-12,L,H,2,-0.21147959914591397,-0.42295919829182793,L,L,L,N
ZIKA,2016-08-15,L,H,2,0.345364201799625,0.69072840359925,L,L,L,N
ZIKA,2016-08-16,L,H,2,0.492807430938913,0.985614861877826,L,L,L,N
ZIKA,2016-08-17,L,L,1,0.023350976700009518,0.023350976700009518,L,L,L,N
ZIKA,2016-08-18,L,L,1,0.474708949416347,0.474708949416347,L,L,L,N
ZIKA,2016-08-19,H,L,3,-0.8829680049340372,-2.6489040148021115,L,L,L,N
ZIKA,2016-08-22,L,L,1,-0.14847385990095496,-0.14847385990095496,L,L,L,N
ZIKA,2016-08-23,L,L,1,-0.015649554043273284,-0.015649554043273284,L,L,L,N
ZIKA,2016-08-24,H,H,4,-1.1114636645043308,-4.445854658017323,L,L,L,N
ZIKA,2016-08-25,L,H,2,-0.08706110771129483,-0.17412221542258965,L,L,L,N
ZIKA,2016-08-26,L,H,2,-0.142596843636289,-0.285193687272578,L,L,L,N
ZIKA,2016-08-29,L,H,2,0.1983339897262848,0.3966679794525696,L,L,L,N
ZIKA,2016-08-30,H,H,4,-1.00554550263946,-4.02218201055784,L,L,L,N
ZIKA,2016-08-31,L,L,1,-0.1999520131164667,-0.1999520131164667,L,L,L,N
ZIKA,2016-09-01,L,L,1,0.40872095214554705,0.40872095214554705,L,L,L,N
ZIKA,2016-09-02,H,L,3,1.0216290125179217,3.064887037553765,L,L,L,N
ZIKA,2016-09-06,H,L,3,1.690769534644887,5.072308603934661,L,L,L,N
ZIKA,2016-09-07,L,L,1,-0.34185609204420153,-0.34185609204420153,L,L,L,N
ZIKA,2016-09-08,L,L,1,-0.5301379736450285,-0.5301379736450285,L,L,L,N
ZIKA,2016-09-09,H,L,3,-0.6583556911468169,-1.9750670734404507,L,L,L,N
ZIKA,2016-09-12,L,L,1,-0.12623589743590014,-0.12623589743590014,L,L,L,N
ZIKA,2016-09-13,H,L,3,-0.6635563840289516,-1.9906691520868547,L,L,L,N
ZIKA,2016-09-14,L,L,1,0.3419483101391618,0.3419483101391618,L,L,L,N
ZIKA,2016-09-15,L,H,2,-0.6419377080361444,-1.2838754160722887,L,L,L,N
ZIKA,2016-09-16,L,H,2,-0.24727206874199936,-0.4945441374839987,L,L,L,N
ZIKA,2016-09-19,L,H,2,0.20790181045740042,0.41580362091480083,L,L,L,N
ZIKA,2016-09-20,L,L,1,0.09575646345356681,0.09575646345356681,L,L,L,N
ZIKA,2016-09-21,H,H,4,1.4588607866890868,5.835443146756347,L,L,L,N
ZIKA,2016-09-22,L,L,1,0.23572169959271694,0.23572169959271694,L,L,L,N
ZIKA,2016-09-23,L,H,2,0.06271223641922674,0.12542447283845348,L,L,L,N
ZIKA,2016-09-26,L,L,1,-0.07833842415451153,-0.07833842415451153,L,L,L,N
ZIKA,2016-09-27,H,L,3,-0.7291258158574898,-2.1873774475724694,L,L,L,N
ZIKA,2016-09-28,L,L,1,-0.315907432098228,-0.315907432098228,L,L,L,N
ZIKA,2016-09-29,L,L,1,-0.11884091175058398,-0.11884091175058398,L,L,L,N
