,Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
1021,ZIKA,2016-01-04,H,H,4,1.4094224463771177,5.637689785508471,L,L,L,N
1022,ZIKA,2016-01-05,L,H,2,0.28185538227092355,0.5637107645418471,L,L,L,N
1023,ZIKA,2016-01-06,H,H,4,1.4440763713897908,5.776305485559163,L,L,L,N
1024,ZIKA,2016-01-07,H,L,3,1.4139715565868238,4.2419146697604715,L,L,L,N
1025,ZIKA,2016-01-08,L,L,1,-0.4427715413514499,-0.4427715413514499,L,L,L,N
1026,ZIKA,2016-01-11,H,L,3,-0.8894795609386885,-2.6684386828160656,L,L,L,N
1027,ZIKA,2016-01-12,L,L,1,-0.506013948940498,-0.506013948940498,L,L,L,N
1028,ZIKA,2016-01-13,L,L,1,0.4893983349908648,0.4893983349908648,L,L,L,N
1029,ZIKA,2016-01-14,H,L,3,-1.623380427584209,-4.870141282752627,L,L,L,N
1030,ZIKA,2016-01-15,H,L,3,1.0289313054435478,3.0867939163306435,L,L,L,N
1031,ZIKA,2016-01-19,L,H,2,-0.0960789758632119,-0.1921579517264238,L,L,L,N
1032,ZIKA,2016-01-20,H,H,4,1.3367954990345599,5.347181996138239,L,L,L,N
1033,ZIKA,2016-01-21,L,H,2,0.11387965890063967,0.22775931780127934,L,L,L,N
1034,ZIKA,2016-01-22,L,L,1,-0.46449711753715484,-0.46449711753715484,L,L,L,N
1035,ZIKA,2016-01-25,H,H,4,1.028573333333349,4.114293333333396,L,L,L,N
1036,ZIKA,2016-01-26,H,L,3,1.140647602928957,3.421942808786871,L,L,L,N
1037,ZIKA,2016-01-27,L,L,1,0.3728222539582271,0.3728222539582271,L,L,L,N
1038,ZIKA,2016-01-28,H,L,3,-1.067880934759391,-3.203642804278173,L,L,L,N
1039,ZIKA,2016-01-29,L,L,1,0.3848282299152572,0.3848282299152572,L,L,L,N
1040,ZIKA,2016-02-01,H,L,3,1.0285236380137563,3.085570914041269,L,L,L,N
1041,ZIKA,2016-02-02,L,L,1,0.037013418685427624,0.037013418685427624,L,L,L,N
1042,ZIKA,2016-02-03,H,H,4,1.0731834979436972,4.292733991774789,L,L,L,N
1043,ZIKA,2016-02-04,H,L,3,1.208237986270011,3.624713958810033,L,L,L,N
1044,ZIKA,2016-02-05,H,L,3,1.5827077869223105,4.7481233607669315,L,L,L,N
1045,ZIKA,2016-02-08,H,H,4,1.3443750000000199,5.377500000000079,L,L,L,N
1046,ZIKA,2016-02-09,L,L,1,-0.21962575385002792,-0.21962575385002792,L,L,L,N
1047,ZIKA,2016-02-10,H,L,3,0.77478163805631,2.32434491416893,L,L,L,N
1048,ZIKA,2016-02-11,H,H,4,4.0188703828312855,16.075481531325142,L,L,L,N
1049,ZIKA,2016-02-12,L,H,2,-0.5879363444974972,-1.1758726889949944,L,L,L,N
1050,ZIKA,2016-02-16,H,L,3,-3.033122650953668,-9.099367952861003,L,L,L,N
1051,ZIKA,2016-02-17,L,L,1,0.6186338054883667,0.6186338054883667,L,L,L,N
1052,ZIKA,2016-02-18,H,L,3,2.433319992206795,7.299959976620385,L,L,L,N
1053,ZIKA,2016-02-19,L,L,1,-0.6002189483454323,-0.6002189483454323,L,L,L,N
1054,ZIKA,2016-02-22,H,L,3,-1.7775165542181282,-5.332549662654385,L,L,L,N
1055,ZIKA,2016-02-23,H,L,3,1.4979678153600684,4.493903446080205,M,M,M,B
1056,ZIKA,2016-02-24,L,H,2,0.33270772621816214,0.6654154524363243,M,M,M,N
1057,ZIKA,2016-02-25,L,L,1,0.2635804756093707,0.2635804756093707,M,M,M,N
1058,ZIKA,2016-02-26,H,L,3,-0.6869038447575249,-2.0607115342725746,M,M,M,B
1059,ZIKA,2016-02-29,H,L,3,1.3064622892454913,3.919386867736474,M,M,M,B
1060,ZIKA,2016-03-01,H,L,3,-0.7333125483252934,-2.19993764497588,M,M,M,B
1061,ZIKA,2016-03-02,H,L,3,0.7726951033207641,2.3180853099622922,M,M,M,B
1062,ZIKA,2016-03-03,H,H,4,1.727336535220747,6.909346140882988,M,M,M,B
1063,ZIKA,2016-03-04,L,L,1,-0.15737761557083063,-0.15737761557083063,M,M,M,N
1064,ZIKA,2016-03-07,L,H,2,0.4977584163119442,0.9955168326238883,M,M,M,N
1065,ZIKA,2016-03-08,L,L,1,-0.46227258099943436,-0.46227258099943436,M,M,M,N
1066,ZIKA,2016-03-09,H,L,3,-0.8293249157517835,-2.4879747472553504,M,M,M,B
1067,ZIKA,2016-03-10,H,H,4,1.6056179694661665,6.422471877864666,M,M,M,B
1068,ZIKA,2016-03-11,H,L,3,-1.7201613168724261,-5.160483950617278,M,M,M,S
1069,ZIKA,2016-03-14,H,L,3,-1.2896750258881151,-3.8690250776643453,M,M,M,S
1070,ZIKA,2016-03-15,L,L,1,0.07635191118133822,0.07635191118133822,M,M,M,N
1071,ZIKA,2016-03-16,H,H,4,2.2295668212069186,8.918267284827675,M,M,M,B
1072,ZIKA,2016-03-17,L,H,2,-0.3814570157212649,-0.7629140314425298,M,M,M,N
1073,ZIKA,2016-03-18,L,H,2,-0.2746974179979378,-0.5493948359958756,M,M,M,N
1074,ZIKA,2016-03-21,H,H,4,-0.7011719356968649,-2.8046877427874595,M,M,M,B
1075,ZIKA,2016-03-22,L,L,1,0.2942157052304495,0.2942157052304495,M,M,M,N
1076,ZIKA,2016-03-23,H,H,4,-2.263009844321673,-9.052039377286691,M,M,M,S
1077,ZIKA,2016-03-24,L,H,2,-0.24011576845796023,-0.48023153691592046,M,M,M,N
1078,ZIKA,2016-03-28,L,L,1,0.23209489844244757,0.23209489844244757,M,M,M,N
1079,ZIKA,2016-03-29,H,H,4,1.8524905978128725,7.40996239125149,M,H,M,B
1080,ZIKA,2016-03-30,H,L,3,-1.3977803739006367,-4.19334112170191,M,H,M,S
1081,ZIKA,2016-03-31,L,L,1,0.46114518294013696,0.46114518294013696,M,H,M,N
1082,ZIKA,2016-04-01,L,L,1,-0.6035353672520838,-0.6035353672520838,M,H,M,N
1083,ZIKA,2016-04-04,H,L,3,-0.6670640554177765,-2.0011921662533294,M,H,M,B
1084,ZIKA,2016-04-05,H,L,3,1.3000447473087373,3.900134241926212,M,L,M,B
1085,ZIKA,2016-04-06,L,L,1,-0.6119343664139243,-0.6119343664139243,M,L,M,N
1086,ZIKA,2016-04-07,H,H,4,1.4280818979291565,5.712327591716626,M,L,M,B
1087,ZIKA,2016-04-08,L,L,1,-0.15175870372009514,-0.15175870372009514,M,L,M,N
1088,ZIKA,2016-04-11,H,L,3,1.3510081904922755,4.0530245714768265,M,L,M,B
1089,ZIKA,2016-04-12,L,L,1,0.01666583368045149,0.01666583368045149,M,L,M,N
1090,ZIKA,2016-04-13,H,L,3,-1.066227378603235,-3.198682135809705,M,L,M,S
1091,ZIKA,2016-04-14,H,H,4,-1.3976560090340095,-5.590624036136038,M,L,M,S
1092,ZIKA,2016-04-15,H,L,3,0.6916548485043528,2.0749645455130583,M,L,M,B
1093,ZIKA,2016-04-18,L,L,1,-0.15264586419004855,-0.15264586419004855,M,L,M,N
1094,ZIKA,2016-04-19,H,H,4,1.5627688391841144,6.251075356736457,M,L,M,B
1095,ZIKA,2016-04-20,L,H,2,-0.5101195766830768,-1.0202391533661537,L,L,L,N
1096,ZIKA,2016-04-21,L,H,2,0.3782440919707142,0.7564881839414284,L,L,L,N
1097,ZIKA,2016-04-22,H,L,3,-1.2811916141549307,-3.843574842464792,L,L,L,N
1098,ZIKA,2016-04-25,L,H,2,0.2884078402613177,0.5768156805226354,L,L,L,N
1099,ZIKA,2016-04-26,L,H,2,0.39752515273132616,0.7950503054626523,L,L,L,N
1100,ZIKA,2016-04-27,L,L,1,0.2864397713506328,0.2864397713506328,L,L,L,N
1101,ZIKA,2016-04-28,H,H,4,1.890120951863894,7.560483807455576,L,L,L,N
1102,ZIKA,2016-04-29,H,L,3,1.94575066414584,5.83725199243752,L,L,L,N
1103,ZIKA,2016-05-02,L,L,1,-0.331584305190713,-0.331584305190713,L,L,L,N
1104,ZIKA,2016-05-03,L,L,1,-0.22719815363839713,-0.22719815363839713,L,L,L,N
