Date,Open,High,Low,Close,Volume
3/3/14,108.879997,109.18,108.639999,109.029999,11089400
3/4/14,108.349998,108.349998,107.360001,107.389999,8068100
3/5/14,107.339996,107.779999,107.199997,107.620003,4798500
3/6/14,106.760002,106.970001,106.519997,106.559998,7418200
3/7/14,105.639999,106.169998,105.599998,105.889999,8270300
3/10/14,105.940002,106.110001,105.779999,106.040001,3744300
3/11/14,105.980003,106.339996,105.779999,106.32,3815700
3/12/14,106.919998,107.260002,106.779999,107.059998,6430500
3/13/14,106.699997,108.529999,106.650002,108.5,11815500
3/14/14,108.970001,108.980003,108.32,108.519997,9232800
3/17/14,108.18,108.300003,107.669998,107.709999,7381900
3/18/14,107.68,108.150002,107.599998,108.099998,4819500
3/19/14,107.919998,107.980003,106.809998,107.260002,11557600
3/20/14,107.089996,107.629997,106.989998,107.07,5224400
3/21/14,107.410004,108.32,107.370003,108.230003,8986200
3/24/14,108.050003,109.089996,107.949997,109,7536400
3/25/14,108.410004,108.82,108.169998,108.589996,5032000
3/26/14,108.550003,109.480003,108.480003,109.440002,7147200
3/27/14,109.639999,110.389999,109.419998,109.989998,9772200
3/28/14,109.860001,109.889999,109.019997,109.370003,6027000
3/31/14,108.739998,111.07,108.339996,109.099998,7488400
4/1/14,108.260002,108.360001,107.839996,107.889999,9067300
4/2/14,107.389999,107.550003,107.169998,107.269997,6887200
4/3/14,107.519997,107.940002,107.440002,107.739998,4937400
4/4/14,107.870003,108.690002,107.849998,108.459999,8977500
4/7/14,108.620003,109.290001,108.599998,109.110001,7562500
4/8/14,109.029999,109.470001,108.720001,109.370003,4213800
4/9/14,108.879997,109.349998,108.639999,108.830002,5771500
4/10/14,108.919998,110.220001,108.900002,109.839996,12706400
4/11/14,110.540001,110.790001,110.129997,110.730003,10267000
4/14/14,110.480003,110.699997,110.300003,110.440002,4142600
4/15/14,110.610001,111.510002,110.349998,111.129997,7752000
4/16/14,110.43,111.269997,110.379997,111.269997,5523000
4/17/14,111.370003,111.449997,109.699997,110.050003,8622500
4/21/14,110.370003,110.620003,109.839996,109.959999,4316300
4/22/14,109.660004,110.489998,109.610001,110.330002,5748700
4/23/14,110.599998,111.050003,110.529999,110.959999,5748600
4/24/14,110.449997,111.209999,110.449997,111.169998,6337800
4/25/14,111.489998,111.989998,111.32,111.330002,5976500
4/28/14,111.110001,111.279999,110.550003,110.790001,7606000
4/29/14,110.169998,110.730003,110.040001,110.639999,5235200
4/30/14,110.720001,111.260002,110.379997,111.099998,7721400
5/1/14,110.879997,112.080002,110.839996,112.019997,11556500
5/2/14,111.540001,113.099998,111.300003,112.709999,12702100
5/5/14,112.760002,112.809998,111.889999,112.029999,8043000
5/6/14,112.110001,112.699997,112.040001,112.480003,6522600
5/7/14,112.309998,112.57,111.940002,112.080002,8199200
5/8/14,112.339996,112.760002,111.459999,111.599998,10878800
5/9/14,111.529999,111.809998,110.980003,111.239998,6000600
5/12/14,111.010002,111.129997,110.540001,110.790001,4563800
5/13/14,111.440002,111.75,111.330002,111.75,5501000
5/14/14,112.629997,113.230003,112.559998,112.959999,8851400
5/15/14,113.779999,114.410004,113.599998,113.860001,12627900
5/16/14,113.610001,114,113.419998,113.540001,5019200
5/19/14,113.93,113.959999,112.620003,112.699997,7403300
5/20/14,112.599998,113.480003,112.589996,112.949997,6549800
5/21/14,112.220001,112.400002,111.870003,112.260002,8224600
5/22/14,112.260002,112.400002,111.790001,112.099998,6495700
5/23/14,112.519997,112.910004,112.449997,112.699997,3835000
5/27/14,112.849998,113.400002,112.400002,113.360001,6658300
5/28/14,114.099998,114.839996,114.089996,114.760002,10361000
5/29/14,114.870003,115.190002,114.129997,114.150002,10692000
5/30/14,113.959999,114.400002,113.809998,114.099998,6518900
6/2/14,113.040001,113.68,112.550003,112.959999,11728200
6/3/14,112.410004,112.540001,111.510002,111.57,12694100
